"Date","AMC","GME"
"06-01",5.31,1.0325
"06-02",5.59,1.045
"06-03",5.45,1.11
"06-04",5.38,1.1175
"06-05",5.91,1.035
"06-08",6.45,1.2525
"06-09",5.99,1.24
"06-10",6.29,1.2675
"06-11",5.17,1.0925
"06-12",5.89,1.18
"06-15",5.8,1.1725
"06-16",5.56,1.16
"06-17",5.42,1.19
"06-18",5.63,1.2375
"06-19",5.52,1.22
"06-22",5.33,1.2175
"06-23",5.1,1.2075
"06-24",4.79,1.1025
"06-25",4.27,1.115
"06-26",4.18,1.0875
"06-29",4.42,1.095
"06-30",4.29,1.085
"07-01",4.57,1.11
"07-02",4.53,1.0725
"07-06",4.28,1.06
"07-07",4.13,1.0225
"07-08",4.43,1.065
"07-09",4.57,1.0525
"07-10",4.6,1.085
"07-13",4.26,1.065
"07-14",4.22,1.02
"07-15",4.5,1.0475
"07-16",4.38,1.0425
"07-17",4.27,0.99
"07-20",4.15,0.9625
"07-21",4.15,1.0025
"07-22",4.03,1.0275
"07-23",4.06,1.0275
"07-24",4,1.0075
"07-27",3.87,1.0025
"07-28",4.15,0.985
"07-29",4.16,1.015
"07-30",4.12,1.025
"07-31",4.04,1.0025
"08-03",4.11,1.0375
"08-04",4.1,1.1075
"08-05",4.15,1.1575
"08-06",4.14,1.1075
"08-07",4.75,1.04
"08-10",4.47,1.0825
"08-11",4.56,1.0875
"08-12",4.64,1.13
"08-13",5.31,1.16
"08-14",5.54,1.1875
"08-17",5.6,1.1575
"08-18",5.35,1.2025
"08-19",5.39,1.18
"08-20",5.69,1.1525
"08-21",5.19,1.2575
"08-24",5.41,1.2175
"08-25",5.54,1.245
"08-26",5.6,1.2775
"08-27",6.52,1.3125
"08-28",6.3,1.3475
"08-31",5.88,1.67
"09-01",6.07,1.9125
"09-02",7.04,1.9275
"09-03",6.6,1.955
"09-04",7.02,1.9125
"09-08",6.42,1.925
"09-09",6.26,1.8375
"09-10",5.94,1.5575
"09-11",5.79,1.5225
"09-14",5.54,1.7275
"09-15",5.52,1.7725
"09-16",5.76,2.17
"09-17",5.72,2.3
"09-18",5.67,2.3675
"09-21",5.32,2.1875
"09-22",5.21,2.64
"09-23",4.78,2.51
"09-24",4.61,2.285
"09-25",4.88,2.505
"09-28",4.91,2.5225
"09-29",4.86,2.5875
"09-30",4.71,2.55
"10-01",4.65,2.4425
"10-02",4.65,2.3475
"10-05",4.13,2.365
"10-06",4.06,2.2825
"10-07",4.04,2.34
"10-08",4.14,3.3725
"10-09",4.05,3.005
"10-12",4.08,2.95
"10-13",3.54,2.97
"10-14",2.96,3.0625
"10-15",2.78,3.4575
"10-16",3.04,3.3275
"10-19",3.54,3.4775
"10-20",3.09,3.465
"10-21",3,3.525
"10-22",3.12,3.7275
"10-23",2.97,3.75
"10-26",2.75,3.3625
"10-27",2.79,3.1725
"10-28",2.61,2.955
"10-29",2.52,2.9325
"10-30",2.36,2.6175
"11-02",2.15,2.6875
"11-03",2.34,2.8925
"11-04",2.31,2.7275
"11-05",2.46,2.8625
"11-06",2.49,2.965
"11-09",3.77,2.8725
"11-10",3.51,2.775
"11-11",3.13,2.9375
"11-12",2.94,2.7825
"11-13",2.97,2.7525
"11-16",3.11,3.015
"11-17",2.98,2.9075
"11-18",3.26,2.8925
"11-19",3.19,3.115
"11-20",3.35,3.1775
"11-23",3.81,3.475
"11-24",4.58,3.4175
"11-25",4.49,3.6875
"11-27",4.45,4.02
"11-30",4.27,4.14
"12-01",4.15,3.95
"12-02",4.32,4.145
"12-03",3.63,4.03
"12-04",3.51,4.225
"12-07",3.56,4.0875
"12-08",3.98,4.235
"12-09",3.86,3.415
"12-10",4.09,3.53
"12-11",3.92,3.3275
"12-14",3.19,3.18
"12-15",2.86,3.4625
"12-16",2.78,3.4625
"12-17",2.85,3.7075
"12-18",2.8,3.9075
"12-21",2.68,3.8825
"12-22",2.59,4.865
"12-23",2.56,5.1425
"12-24",2.51,5.0375
"12-28",2.39,5.2475
"12-29",2.29,4.845
"12-30",2.16,4.815
"12-31",2.12,4.71
